,count,mean,std,min,25%,50%,75%,max,median,variance,mode
year,1278.0,2009.0798122065728,5.479073820049494,2000.0,2004.0,2009.0,2014.0,2018.0,2009.0,30.02024992555175,2017.0
population,1278.0,83225776.04773083,218644103.04351944,311859.0,8103296.75,25332088.0,65289465.0,1417069440.0,25332088.0,4.7805243795705144e+16,311859.0
gdp,1278.0,1185382459463.3115,2499873475671.1772,12803464192.0,195987386368.0,394761863168.0,1103821504512.0,18151620214784.0,394761863168.0,6.249367394364291e+24,12803464192.0
energy_per_gdp,1278.0,1.5654906103286383,0.7750558053959313,0.466,1.087,1.361,1.853,6.296,1.361,0.6007115014779358,1.158
primary_energy_consumption,1278.0,1885.4545336463227,4648.730175051113,27.964,245.12925,542.9000000000001,1502.66075,38415.93,542.9000000000001,21610692.240430757,294.774
electricity_generation,1278.0,282.8436932707355,721.5399471574016,0.4,36.215,80.78,228.975,7120.6,80.78,520619.8953439059,6.09
energy_per_capita,1278.0,36063.0510743349,26607.512508034557,1053.621,17299.7935,30741.561500000003,47843.785,165831.281,30741.561500000003,707959721.8652154,1053.621
greenhouse_gas_emissions,1278.0,135.25308294209702,405.9187145755188,0.12,11.1275,28.34,96.3025,4085.99,28.34,164770.0028426415,1.57
fossil_fuel_consumption,1278.0,1608.123720657277,4083.1095500142183,11.569,183.75375,422.54200000000003,1340.81425,32726.068,422.54200000000003,16671783.597417314,156.516
renewables_consumption,1278.0,171.29199374021908,416.3638792274903,0.002,12.13025,43.5015,124.42399999999999,4940.908,43.5015,173358.87992536413,0.012
renewables_share_energy,1278.0,11.935883411580596,12.912548040033057,0.001,2.92725,6.737,17.64675,74.302,6.737,166.73389688616155,0.005
